,Mkt-RF,SMB,HML,RF
200301,-2.73,1.87,0.84,0.1
200302,-1.84,0.48,1.67,0.09
200303,-0.35,0.48,-1.06,0.1
200304,8.7,-0.05,-0.76,0.1
200305,6.58,3.21,0.48,0.09
200306,2.06,1.95,0.77,0.1
200307,2.21,2.25,1.45,0.07
200308,2.73,2.7,1.3,0.07
200309,1.32,2.78,0.11,0.08
200310,5.87,0.8,2.5,0.07
200311,1.68,-0.09,0.19,0.07
200312,5.64,-1.67,0.96,0.08
200401,2.29,2.57,1.85,0.07
200402,1.92,-0.04,0.7,0.06
200403,-0.03,3.76,0.44,0.09
200404,-2.34,-0.57,-1.69,0.08
200405,0.67,-1.57,0.23,0.06
200406,2.38,2.23,1.03,0.08
200407,-3.79,-1.56,2.33,0.1
200408,0.36,-0.73,1.26,0.11
200409,2.15,1.27,0.48,0.11
200410,2.56,0.51,0.14,0.11
200411,5.38,2.14,1.25,0.15
200412,3.8,-0.01,0.54,0.16
200501,-1.93,2,1.49,0.16
200502,2.99,0.35,1.41,0.16
200503,-2.02,-0.53,1.55,0.21
200504,-2.6,-0.99,0.05,0.21
200505,1.43,-0.88,-0.08,0.24
200506,1.23,1.86,1.63,0.23
200507,3.54,0.98,-0.15,0.24
200508,1.04,0.57,0.8,0.3
200509,2.08,-0.25,0.95,0.29
200510,-2.68,-0.16,0.23,0.27
200511,2.9,0.19,-0.74,0.31
200512,2.58,2.23,-0.53,0.32
200601,4.52,2.73,1.41,0.35
200602,-0.46,-0.75,1.35,0.34
200603,2.43,2.01,0.42,0.37
200604,2.87,0.34,1.32,0.36
200605,-4.12,-2.3,1.17,0.43
200606,-0.59,-1.66,0.1,0.4
200607,-0.25,-2.94,2.5,0.4
200608,2.23,0.21,-0.74,0.42
200609,0.6,-1.47,0.5,0.41
200610,3.33,0.51,-0.37,0.41
200611,2.29,0.34,0.4,0.42
200612,1.85,-0.17,1.36,0.4
200701,0.93,0.84,0.13,0.44
200702,-0.55,1.44,0.78,0.38
200703,1.76,0.23,0.48,0.43
200704,3.71,-0.91,0.31,0.44
200705,2.49,-0.86,0.63,0.41
200706,-0.79,1.01,0.06,0.4
200707,-2.37,0.22,-0.9,0.4
200708,-1.14,-3.5,-0.48,0.42
200709,4.42,-2.12,-1.63,0.32
200710,3.18,0.89,-3.01,0.32
200711,-4.65,-3.53,-0.65,0.34
200712,-1.53,-0.82,0.76,0.27
200801,-7.85,-0.95,2.68,0.21
200802,-0.04,2.11,-0.82,0.13
200803,-1.25,-0.8,1.47,0.17
200804,4.92,-2.77,-0.42,0.18
200805,1.83,1.66,-1.59,0.18
200806,-8.06,1.16,-1.1,0.17
200807,-2.79,-0.44,2.09,0.15
200808,-2.1,-0.5,0.15,0.13
200809,-12.28,-1.25,2.44,0.15
200810,-19.51,-2.82,0.03,0.08
200811,-6.53,-0.49,-1.61,0.03
200812,4.44,2.17,0.46,0
200901,-8.55,2.24,-4.62,0
200902,-9.93,1.06,-4.14,0.01
200903,7.27,-1.31,0,0.02
200904,11.41,1.6,2.75,0.01
200905,9.95,1.65,0.03,0
200906,-0.26,2.83,-1.58,0.01
200907,8.6,-1.4,3.93,0.01
200908,3.88,0.9,4.59,0.01
200909,4.46,1.61,0.55,0.01
200910,-2.1,-0.44,-2.19,0
200911,3.64,-2.42,-1.35,0
200912,1.93,0.68,0.79,0.01
201001,-3.73,2.56,-0.06,0
201002,1.29,0.06,0.14,0
201003,6.24,-0.23,3.07,0.01
201004,0.48,3.82,0.82,0.01
201005,-9.54,0.12,-2.49,0.01
201006,-3.15,0.33,-2.69,0.01
201007,8.21,-1.57,1.29,0.01
201008,-3.9,-0.24,-1.92,0.01
201009,9.85,1.51,-1.6,0.01
201010,3.94,-0.07,-1.23,0.01
201011,-2.17,2.05,-0.74,0.01
201012,7.6,2.05,1.79,0.01
201101,2.13,-1.65,2.81,0.01
201102,3.49,0.15,0.47,0.01
201103,-0.68,1.32,-1.58,0.01
201104,4.47,-0.73,-1.83,0
201105,-2.1,-0.51,-1.33,0
201106,-1.52,-0.42,0.49,0
201107,-1.7,1.22,-2.18,0
201108,-7.52,-0.59,-1.8,0.01
201109,-9.2,-1.29,0.74,0
201110,10.01,-2.13,-1.92,0
201111,-2.64,-1.06,-0.75,0
201112,-0.44,-0.49,1.81,0
201201,5.61,2.15,-0.77,0
201202,4.93,-0.81,-0.31,0
201203,1.24,-0.38,0.04,0
201204,-1.11,0.23,-1.68,0
201205,-8.88,-0.52,0.08,0.01
201206,4.85,-1.48,1.43,0
201207,0.85,-1.61,-1.04,0
201208,2.78,-0.25,0.61,0.01
201209,3.07,1.07,1.21,0.01
201210,-0.43,-0.76,2.34,0.01
201211,1.32,-1.19,0.12,0.01
201212,2.3,1.24,3.51,0.01
201301,5.46,0.17,1.97,0
201302,0.09,0.32,-0.73,0
201303,2.3,0.85,-1.86,0
201304,3.02,-1.15,0.9,0
201305,0.56,-0.65,0.9,0
201306,-2.52,0.22,-0.02,0
201307,5.58,0.11,0.44,0
201308,-1.83,1.2,-0.77,0
201309,5.52,2.19,-0.59,0
201310,3.71,-1.72,1.95,0
201311,1.82,-0.22,-0.1,0
201312,2.18,-0.24,-0.31,0
201401,-3.29,2.86,-0.16,0
201402,5.06,-1.01,0.06,0
201403,0.15,-0.45,2.86,0
201404,0.55,-2.73,1.18,0
201405,1.75,-1.08,-0.49,0
201406,2.01,2.2,-0.25,0
201407,-2.05,-1.09,0.32,0
201408,1.93,-0.55,-0.76,0
201409,-3.09,-2.73,-0.83,0
201410,0.33,-0.38,-2.81,0
201411,1.65,-2.25,-2,0
201412,-1.44,1.65,0.04,0
201501,-1.74,0.02,-2.49,0
201502,5.91,-0.34,-0.3,0
201503,-1.17,1.41,-0.8,0
201504,2.71,0.86,2.27,0
201505,0.5,1.22,-1.12,0
201506,-2.09,2.1,-0.66,0
201507,1.13,-3.08,-3.25,0
201508,-6.18,1.15,1.27,0
201509,-3.91,-0.18,-1.02,0
201510,7.32,-2.4,0.34,0
201511,-0.3,1.72,-1.99,0
201512,-1.73,1.01,-1.7,0.01
201601,-6.32,-2.11,0.76,0.01
201602,-0.5,0.83,-0.21,0.02
201603,6.92,1.32,0.42,0.02
201604,1.91,1.12,2.98,0.01
201605,0.45,0.02,-2.11,0.01
201606,-1.67,-0.49,-0.73,0.02
201607,4.48,1.28,0.46,0.02
201608,0.29,0.3,2.19,0.02
201609,0.9,2.32,-1.23,0.02
201610,-1.88,-1.47,4.09,0.02
201611,1.39,0.25,4.39,0.01
201612,2.25,-0.48,2.76,0.03
201701,2.72,0.4,-0.53,0.04
201702,2.28,-0.6,-1.74,0.04
